businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
,广州合摩计算机科技有限公司,297763,爱员工,150-500人,2018-11-20 09:43:34,天河区,本科,B轮,移动互联网,PHP高级研发工程师,15k-30k
['员村'],江西贪玩信息技术有限公司广州分公司,271701,贪玩游戏,500-2000人,2018-11-22 18:04:09,天河区,大专,D轮及以上,游戏,c++服务端开发工程师,10k-18k
"['员村', '天河公园', '棠下']",广州原力互娱网络科技有限公司,126248,原力互娱,500-2000人,2018-11-22 09:52:27,天河区,大专,上市公司,移动互联网,PHP开发工程师,6k-10k
['大学城'],广州探迹科技有限公司,134745,探迹,150-500人,2018-11-22 17:21:34,番禺区,本科,A轮,"数据服务,企业服务",后台工程师,15k-30k
"['琶洲', '新港', '赤岗']",广州逗号智能零售有限公司,274523,逗号智能零售,50-150人,2018-11-22 16:52:53,海珠区,硕士,不需要融资,"移动互联网,生活服务",AI算法工程师,20k-40k
,广州亚美信息科技有限公司,37398,亚美,150-500人,2018-11-14 16:44:02,天河区,本科,不需要融资,移动互联网,大数据开发工程师（偏离线计算和数据分析）,15k-25k
"['珠江新城', '岭南', '跑马场']",广州博冠信息科技有限公司,22790,网易游戏,2000人以上,2018-11-22 17:55:09,天河区,硕士,上市公司,游戏,高级开发工程师（AI方向）,15k-30k
"['员村', '天河公园', '棠下']",广州原力互娱网络科技有限公司,126248,原力互娱,500-2000人,2018-11-22 09:52:27,天河区,大专,上市公司,移动互联网,c++服务端开发工程师,10k-20k
"['天河公园', '棠下']",三七互娱（上海）科技有限公司,658,三七互娱,2000人以上,2018-11-22 09:54:31,天河区,本科,上市公司,游戏,运维开发工程师,10k-15k
,广州摩翼信息科技有限公司,5726,翼课网,500-2000人,2018-11-22 18:59:30,番禺区,本科,不需要融资,"移动互联网 ,教育",PHP研发工程师,12k-20k
"['林和', '沙河']",乐至（上海）科技有限公司,137205,乐至科技,15-50人,2018-11-22 15:46:19,天河区,大专,不需要融资,移动互联网,运维开发工程师（薪资与能力成正比）,13k-26k
,广州柏视医疗科技有限公司,216758,柏视医疗,50-150人,2018-11-21 10:48:05,海珠区,硕士,A轮,"医疗健康,数据服务",人工智能研发工程师,20k-40k
['员村'],广州汇量信息科技有限公司,22045,Mobvista,500-2000人,2018-11-07 10:43:05,天河区,大专,上市公司,移动互联网,资深后端开发工程师,15k-30k
"['珠江新城', '沙河']",深圳前海大数金融服务有限公司,45195,大数金融,500-2000人,2018-11-20 09:23:35,天河区,大专,C轮,金融,BI开发工程师,12k-20k
,广州机智云物联网科技有限公司,6921,机智云,150-500人,2018-11-22 19:13:47,天河区,本科,B轮,"移动互联网,硬件",Java工程师（大数据方向）,10k-20k
"['客村', '新港', '赤岗']",广州瑞致租车有限公司,11489,瑞卡连锁租车集团,500-2000人,2018-11-22 09:42:58,海珠区,本科,不需要融资,生活服务,web前端开发工程师,8k-12k
['车陂'],广州汉全信息科技有限公司,122671,汉全科技,50-150人,2018-11-22 14:14:25,天河区,本科,不需要融资,移动互联网,高级PHP程序员,15k-20k
"['天园', '天河公园', '棠下']",广州火舞软件开发股份有限公司,93656,火舞游戏,150-500人,2018-11-16 16:42:16,天河区,大专,未融资,游戏,Java开发工程师,15k-25k
,广东奇化化工交易中心股份有限公司,29760,奇化网,150-500人,2018-11-22 09:43:48,黄埔区,本科,不需要融资,电子商务,高级前端工程师,15k-30k
['鱼珠'],广州云徙科技有限公司,143873,云徙科技,500-2000人,2018-11-22 17:20:39,黄埔区,本科,A轮,"数据服务,移动互联网",算法工程师（广州）,15k-30k
,广州亚美信息科技有限公司,37398,亚美,150-500人,2018-11-14 17:03:02,天河区,本科,不需要融资,移动互联网,大数据开发工程师（偏实时计算和大数据平台建设）,15k-25k
